RK,Name,TEAM,GP,TOI,W,L,SO,GA,GAA,SV,SV%
1,"Kviteng, Ola August",NID,4,118,2,0,0,3,1.53,47,94
2,"Desmot, Henrik",VÅL,6,120,2,0,0,1,0.5,15,93.8
3,"Berry, Lucas Nysted",LØR,4,180,2,1,0,7,2.33,87,92.6
4,"West, Kristian Stenrød",JAR,2,52,0,1,0,2,2.31,24,92.3
5,"Grotnes, Kalle Falch",STJ,7,300,5,0,0,7,1.4,80,92
5,"Strømberg, Daniel",STA,13,411,5,2,0,16,2.34,183,92
7,"Jacobsen, Oliver Skartveit",STA,9,262,3,1,0,9,2.06,84,90.3
8,"Smestad, Viktor Langbråten",STO,7,300,5,0,0,9,1.8,81,90
9,"Kvarme, Samuel Selvikvåg",MAN,5,226,0,4,0,15,4,127,89.4
10,"Hushagen, Herman",LIL,9,180,2,1,0,12,4,93,88.6
11,"Nordli, Edvard",KON,11,400,4,3,0,23,3.45,175,88.4
12,"Otterlei, Anders",LØR,3,185,1,1,1,13,4.22,97,88.2
13,"Rønningen, Vebjørn Elvebakk",LIL,9,334,1,4,0,20,3.59,142,87.7
14,"Taftø, Aksel Bjørgum",NID,8,239,0,4,0,22,5.52,156,87.6
14,"Leira, Aleksander",LØR,8,362,2,4,0,23,3.82,162,87.6
16,"Bay, Max Aadne",VÅL,11,481,6,2,0,26,3.25,182,87.5
17,"Foldøy, Benjamin Johan",FRI,13,359,4,2,0,18,3.01,123,87.2
18,"Mørland, Petter",JAR,11,398,1,6,0,32,4.85,217,87.1
19,"Jerven, Ole Blytt",FRI,13,423,6,1,0,21,2.98,141,87
20,"Bryni, Aleksander Tørmo",STJ,5,60,1,0,0,4,4,26,86.7
21,"Flåm, Theodor",STJ,13,417,3,4,0,26,3.75,168,86.6
22,"Nereng-Olsen, Leon Andrés",STO,2,59,0,1,0,3,3.05,19,86.4
23,"Baltic, Eldar",SPA,9,306,3,3,0,25,4.92,158,86.3
23,"Spanne, Jakob Cabarrubias",LIL,8,254,0,5,0,20,4.72,126,86.3
25,"Hoem, Emil",NID,8,238,0,4,0,26,6.58,160,86
26,"Bukten, Henrik Nordnes",STO,9,304,5,0,0,12,2.37,73,85.9
27,"Sonefors, Samuel Lars Elon",SPA,4,80,0,1,0,7,5.25,42,85.7
28,"Baklund, Martin Falch",VÅL,5,60,0,1,0,3,3,17,85
29,"Dal Pan, Leo Thomas",MAN,8,334,2,3,1,34,6.13,188,84.7
30,"Oustad, Mikkel Foronda",KON,13,377,2,4,0,27,4.31,146,84.4
31,"Skrøder, Marius Rotefoss",SPA,9,273,2,2,0,27,5.93,130,82.8
32,"Høvik, Leon",LØR,11,60,1,0,0,4,4,17,81
33,"Nordberg, Pascal Uribe",MAN,9,100,1,1,0,6,3.6,25,80.6
34,"Angeltvedt, Håkon",JAR,11,319,0,5,0,51,9.62,165,76.4
35,"Bjørnsgaard, Petter",STA,5,163,1,1,0,13,4.79,33,71.7
36,"Rafiqi, Sofian Daniel",JAR,1,7,0,0,0,5,42.86,2,28.6
37,"Kristiansen, Mikkel",KON,2,0,0,0,0,0,0,0,0
37,"Ek, Sander Jenvild",STJ,1,0,0,0,0,0,0,0,0
37,"Solberg, Oskar Daniel",JAR,1,0,0,0,0,0,0,0,0
37,"Egeland, Emil",STA,1,0,0,0,0,0,0,0,0
37,"Bjerke-Narud, Herman Alme",STO,4,0,0,0,0,0,0,0,0
