RK,Name,Team,GP,G,A,PTS,"""+-""",PIM,PP,PPA,SH,SHA,GWG,SOG,S%,FO,FO%
1,"Nilsgård, Oskar Kaatorp",STO,11,10,15,25,16,10,2,3,1,0,4,38,26.3,1,0
2,"Vestberg, Tobias",SPA,10,10,14,24,7,6,1,3,0,0,2,32,31.3,10,60
3,"Rannstad, Patrick Bekkevold",STO,10,11,11,22,15,0,4,3,0,1,0,30,36.7,0,0
4,"Mattsson, Elias",SPA,10,5,15,20,9,4,1,2,0,0,0,27,18.5,2,100
5,"Lien, Olai Høyem",STJ,6,6,12,18,17,2,1,5,0,0,1,36,16.7,0,0
6,"Ruud, Aleksander Torgrimsen",STO,11,6,11,17,10,4,0,6,0,0,1,21,28.6,166,56
6,"Andersen, Aksel Stenmoe",STJ,10,7,10,17,6,14,3,4,0,0,1,54,13,0,0
8,"Bjørnstad, Linus",FRI,12,6,10,16,8,6,1,2,1,0,0,22,27.3,2,50
8,"Vold, Anders Fuhr",STO,11,9,7,16,15,2,3,2,0,1,1,43,20.9,33,57.6
8,"Karlsson, Conrad",MAN,10,8,8,16,3,6,1,1,0,0,2,76,10.5,155,46.5
8,"Lie, Casper Nicolai",STO,11,4,12,16,11,0,0,4,1,0,0,19,21.1,2,50
12,"Sætre, Ola Noer",KON,13,9,6,15,7,10,1,2,1,0,3,34,26.5,10,60
12,"Johansen, Jonas",SPA,10,1,14,15,5,6,0,1,0,1,0,23,4.3,0,0
12,"Skumlien, Oliver Løgith",KON,11,5,10,15,6,0,1,1,0,1,0,24,20.8,155,43.9
12,"Andersen, Elias Gøsta",STJ,12,7,8,15,0,6,5,3,0,0,0,34,20.6,14,57.1
12,"Fadnes, Kristian Trinborg",FRI,7,4,11,15,10,0,0,6,1,0,0,15,26.7,3,33.3
12,"Noer, Alexander Noa Lundell",FRI,13,7,8,15,10,4,1,1,0,1,2,25,28,50,64
12,"Oommen, Timothy Simon",STJ,13,6,9,15,10,6,0,0,0,0,1,31,19.4,1,0
12,"Melleby, Tobias Johansen",STO,11,5,10,15,15,2,1,3,1,1,0,35,14.3,165,51.5
20,"Kuvås, Aron Husevik",VÅL,6,3,11,14,11,0,0,0,0,1,1,22,13.6,3,0
20,"Messa, Sid James David",LØR,12,4,10,14,4,0,0,5,0,0,1,27,14.8,186,40.9
20,"Vassøy, Mathias",STA,11,6,8,14,9,0,0,1,0,0,0,30,20,157,58
20,"Nilsgård, Luka Kaatorp",STO,11,7,7,14,21,6,2,1,0,1,0,42,16.7,1,0
24,"Lager, Phillip Gjessing",SPA,10,11,2,13,7,4,2,0,1,0,2,26,42.3,232,56.9
24,"Priede, Martins",STA,12,8,5,13,-1,41,2,2,0,1,2,51,15.7,43,74.4
26,"Bastiansen, Elias Peter",FRI,13,6,6,12,6,8,1,2,1,0,1,25,24,138,45.7
26,"Wallace, Martin",LØR,12,3,9,12,7,8,0,1,0,0,1,25,12,6,83.3
26,"Bratland, Aksel",LØR,12,4,8,12,-3,0,3,4,0,0,0,33,12.1,243,49
26,"Cederquist, Iver Riise",VÅL,11,2,10,12,6,0,0,3,1,1,0,31,6.5,3,66.7
26,"Hansen, Lucas",STO,9,3,9,12,12,27,2,2,0,0,0,20,15,0,0
26,"Flinskau, Daniel",MAN,8,7,5,12,7,33,0,0,0,0,1,32,21.9,8,50
26,"Næss, Jonas",STA,11,2,10,12,16,6,0,1,0,0,0,25,8,5,40
26,"Strømsborg, Thomas Lindblad",STJ,11,5,7,12,6,27,1,1,0,0,0,33,15.2,123,57.7
34,"Hundsnes, Håvard",STA,14,3,8,11,10,13,1,0,0,0,1,36,8.3,2,100
34,"Flade, Håkon Johannes",STO,6,2,9,11,8,8,1,2,0,0,0,11,18.2,82,59.8
34,"Engh, Fredrik",VÅL,10,5,6,11,0,6,2,0,0,0,0,28,17.9,149,54.4
34,"Hyttebakk, Jonas Golberg",FRI,10,4,7,11,9,4,2,2,0,0,0,22,18.2,0,0
34,"Narvestad, Matias Sveen",FRI,11,6,5,11,10,6,1,1,0,0,1,19,31.6,2,50
34,"Giske, Lucas",LØR,13,6,5,11,-8,12,1,0,0,0,0,32,18.8,0,0
34,"Løken, Vegard",FRI,13,4,7,11,14,2,1,2,0,0,1,35,11.4,1,0
34,"Kleven, Alexander Hoel",STO,11,3,8,11,10,8,1,0,0,0,0,19,15.8,1,0
34,"Kreutz, Eirik Skaarer",STJ,13,5,6,11,3,0,0,0,0,0,1,26,19.2,75,48
34,"Lindahl, Sander Froberg",STJ,12,6,5,11,2,4,2,4,0,0,1,26,23.1,2,0
34,"Naboichenko, Tymofii",STA,11,4,7,11,11,0,0,1,0,0,2,26,15.4,20,85
45,"Justnes, August Hovind",FRI,13,6,4,10,6,6,2,1,0,0,1,33,18.2,5,60
45,"Nordrum, Philip Mikael",FRI,8,2,8,10,15,6,0,1,0,0,0,19,10.5,1,0
45,"Puntervold, Mats André Walaunet",LØR,13,6,4,10,-5,12,3,1,0,0,0,42,14.3,1,100
45,"Fadnes, Jonas Trinborg",FRI,12,2,8,10,9,0,1,1,0,0,1,15,13.3,1,0
45,"Kovalenko, Edvin",STA,12,5,5,10,11,10,1,0,0,0,1,37,13.5,0,0
45,"Kolflaath, Filip Mauritzon",VÅL,5,7,3,10,11,0,0,0,3,0,0,10,70,62,56.5
45,"Hendrichs, William Wike",FRI,13,6,4,10,7,2,1,0,0,0,1,30,20,144,51.4
45,"Ulving-Tufte, Martinus",FRI,9,1,9,10,9,6,1,1,0,0,0,19,5.3,0,0
45,"Dubec, Matheo Werner",STJ,4,6,4,10,5,0,2,3,0,0,0,24,25,3,100
45,"Norum, Johannes",VÅL,5,4,6,10,5,8,3,3,0,0,1,28,14.3,75,58.7
55,"Nordstrøm, Mikkel Lund",STO,9,1,8,9,14,0,0,2,0,1,0,13,7.7,0,0
55,"Grunnreis, Ola",LØR,7,1,8,9,-3,8,1,3,0,0,0,19,5.3,0,0
55,"Josefsen, Mathias Wister",SPA,10,1,8,9,4,6,0,3,1,1,0,13,7.7,2,50
55,"Moflag, Sivert Østnor",VÅL,5,5,4,9,2,2,1,1,1,0,1,15,33.3,62,56.5
55,"Bjølsand, Dennis Sørlie",MAN,10,4,5,9,-1,0,1,0,0,0,0,21,19,2,0
55,"Temerov, Ilya Romanovich",STA,9,7,2,9,5,6,2,0,1,0,1,52,13.5,8,12.5
55,"Hulleberg, Tobias Westby",SPA,11,3,6,9,-13,12,0,2,0,0,0,22,13.6,73,49.3
55,"Storrød-Myrén, Mathias Theodor",VÅL,11,5,4,9,8,29,0,0,0,0,0,25,20,5,40
55,"Ånerud, Fredrik Sletholen",KON,10,3,6,9,1,2,0,1,0,0,0,18,16.7,173,56.1
64,"Hura, Tymofii",STA,14,3,5,8,-1,8,0,1,1,0,1,19,15.8,12,41.7
64,"Owen, Isaac Thomas",STJ,6,2,6,8,-2,2,1,4,0,0,1,19,10.5,127,63
64,"Årbogen, Oskar Kjærvik",KON,12,5,3,8,5,2,0,0,1,0,2,20,25,12,41.7
64,"Storsveen, Herman",STO,9,4,4,8,9,0,0,0,0,0,1,8,50,66,51.5
64,"Nordenson, Nicolai Hodne",VÅL,10,4,4,8,7,2,0,0,0,0,1,28,14.3,1,0
64,"Ilstad, Sivert",STO,9,2,6,8,15,8,0,1,0,0,0,10,20,0,0
64,"Proskurnicki, Michael Elton",FRI,13,1,7,8,1,4,1,1,0,1,1,30,3.3,69,58
64,"Ydsti, Noah Per Eklund",NID,8,1,7,8,-5,2,0,3,0,0,0,38,2.6,11,45.5
64,"Andersen, Julian Knold",STJ,4,3,5,8,7,0,2,0,0,0,0,13,23.1,49,65.3
64,"Braaten, Lucas",VÅL,11,6,2,8,7,4,1,1,2,0,1,14,42.9,3,66.7
64,"Orre, Vincent",FRI,13,3,5,8,11,27,1,1,0,1,0,21,14.3,2,50
64,"Hermansen, Anton Ekeland",STJ,11,1,7,8,0,2,0,3,0,0,0,12,8.3,137,58.4
64,"Lingsom, Magnus Flottorp",VÅL,11,0,8,8,15,0,0,0,0,0,0,12,0,0,0
64,"Pukownik, Kristian David",LØR,7,4,4,8,1,4,0,0,0,0,0,18,22.2,0,0
78,"Dittmann, Eirik Midtdal",MAN,9,1,6,7,-1,0,0,0,0,0,0,6,16.7,11,36.4
78,"Antonsen, Markus",KON,13,3,4,7,3,2,0,0,0,0,0,23,13,7,28.6
78,"Bunæs, Trym",STJ,7,1,6,7,6,4,0,1,0,0,0,27,3.7,0,0
78,"Bakkerud, Balder Jonsson",STJ,9,5,2,7,4,0,0,0,0,0,1,18,27.8,4,0
78,"Sollund, Nikolai Sørlie",LØR,6,5,2,7,2,8,1,1,0,0,0,22,22.7,1,0
78,"Myhre, Adrian",VÅL,11,6,1,7,1,4,2,0,0,0,1,26,23.1,10,40
78,"Røsås, Jonathan",LIL,7,5,2,7,-6,6,2,1,0,0,0,19,26.3,2,100
78,"L Heureux, William Kunz",FRI,13,3,4,7,4,6,0,1,0,0,0,30,10,78,42.3
86,"Larsen, Adrian Leander",LØR,12,3,3,6,1,27,0,1,1,0,0,33,9.1,1,100
86,"Slette, Jonah",LIL,9,3,3,6,-3,0,1,2,0,0,0,23,13,185,56.8
86,"Lyngdal, Lars Julian Soza",FRI,12,3,3,6,3,2,0,0,0,0,0,23,13,4,50
86,"Stautland, Simon",MAN,8,4,2,6,4,0,0,0,0,0,0,14,28.6,2,50
86,"Rindal, Benjamin Stakston",LIL,9,2,4,6,-8,2,1,4,0,0,0,18,11.1,7,28.6
86,"Helminsen, Johannes Ruud",STJ,13,0,6,6,-1,8,0,1,0,0,0,21,0,2,0
86,"Roen, Petter Foyn",MAN,5,1,5,6,1,0,0,1,0,0,0,10,10,67,58.2
86,"Aanestad, Ola Stangeland",STA,14,1,5,6,5,4,0,1,0,0,0,18,5.6,176,58
86,"Ribbing, Fredrik Randtun",STO,9,2,4,6,5,10,0,0,0,0,1,19,10.5,6,83.3
86,"Lystad, Ola Gorset",MAN,11,1,5,6,4,10,0,0,0,0,0,12,8.3,1,0
86,"Peck, Max Georg Noer",JAR,9,1,5,6,-9,2,0,2,0,0,0,18,5.6,0,0
86,"Ekberg, Marinius Sixten Arne",FRI,8,2,4,6,10,2,0,0,0,0,0,9,22.2,22,72.7
86,"Støen, Adrian Aleksander",VÅL,9,0,6,6,7,12,0,3,0,0,0,12,0,0,0
86,"Holmsen, Simen",KON,12,0,6,6,11,2,0,2,0,0,0,20,0,1,0
86,"Otterlei, Patrick Alexander Coloma",VÅL,11,1,5,6,7,10,0,3,0,0,1,8,12.5,0,0
86,"Kolstad, Herman Hjellestad",FRI,13,3,3,6,3,4,0,1,0,0,1,28,10.7,0,0
86,"Martin-Blikset, Sebastian",VÅL,6,1,5,6,11,4,0,1,0,0,0,14,7.1,0,0
86,"Olstad, Calvin Emilio",LØR,13,5,1,6,1,2,0,0,0,0,3,12,41.7,0,0
86,"Thun, Trym Tveiten",KON,10,2,4,6,1,8,0,0,0,0,0,13,15.4,33,42.4
86,"Engebakken, Isak",STO,9,2,4,6,5,4,0,1,0,0,0,11,18.2,53,52.8
86,"Lukac, Maxim",FRI,12,3,3,6,5,27,0,1,0,0,0,25,12,108,66.7
86,"Riise, Theodor Noah",LIL,13,1,5,6,-4,2,1,1,0,0,0,14,7.1,115,56.5
86,"Burum, Tex",STJ,9,2,4,6,9,0,1,2,0,0,0,16,12.5,1,0
86,"Lerbakk, Kristoffer",STJ,12,2,4,6,-5,4,0,1,0,0,1,15,13.3,5,100
86,"Samuelsen, Kurt Magnus",STA,14,3,3,6,-6,4,2,1,0,0,0,29,10.3,2,50
86,"Kristiansen, Emil Johansson",LØR,12,1,5,6,4,0,0,0,0,0,0,14,7.1,0,0
112,"Johansson, Sander",SPA,11,3,2,5,-14,6,1,0,1,0,0,14,21.4,42,47.6
112,"Møller, Henrik Andreas Horjen",STA,14,1,4,5,2,6,0,1,0,0,0,14,7.1,0,0
112,"Mallaug, Enrico",LIL,12,4,1,5,-4,6,0,0,0,0,1,28,14.3,9,55.6
112,"Bringager, Sondre",MAN,11,2,3,5,-2,2,0,0,0,0,0,27,7.4,12,41.7
112,"Vargas, Luca",VÅL,10,0,5,5,5,35,0,0,0,0,0,13,0,110,59.1
112,"Haug, Oscar Sebastian Auli",JAR,13,2,3,5,-20,2,2,0,0,0,0,14,14.3,4,0
112,"Bergehagen, Theo Aamodt",LIL,13,4,1,5,-2,8,2,0,0,0,1,20,20,0,0
112,"Slette, Eliah",LIL,4,2,3,5,0,8,1,1,0,0,1,10,20,7,42.9
112,"Dal Pan, Tom David",MAN,7,1,4,5,5,12,0,0,0,0,0,17,5.9,63,41.3
112,"Haugen, Julian",SPA,11,3,2,5,-1,6,0,0,0,1,0,13,23.1,132,49.2
112,"Morken, Linus",KON,11,2,3,5,2,4,0,0,0,0,0,16,12.5,99,45.5
112,"Dzenis, Gusts",LØR,12,2,3,5,4,2,0,0,0,0,0,13,15.4,2,100
112,"Castberg, Theodor Lyngvær",STO,8,1,4,5,5,0,0,0,0,0,1,8,12.5,1,0
