TEAM,GP,PPGF,ADV,PP%,SHGA,PPGA,TSH,PK%,SHGF,FO%
Frisk Asker/NTG,13,15,47,31.9,2,12,44,72.7,3,55.6
Jar/Jutul,13,4,44,9.1,4,10,53,81.1,0,39.1
Kongsvinger,13,3,40,7.5,1,11,39,71.8,2,45.8
Lillehammer Elite/NTG,13,10,51,19.6,5,12,51,76.5,0,47.9
Lørenskog/Furuset,13,9,49,18.4,0,6,44,86.4,1,48.6
Manglerud Star,11,3,29,10.3,3,10,37,73,0,47.1
Nidaros,10,4,29,13.8,0,9,40,77.5,1,44.8
Sparta Sarp,11,7,33,21.2,2,13,41,68.3,3,51.5
Stavanger,14,10,49,20.4,2,9,55,83.6,2,54.7
Stjernen,13,18,60,30,1,6,29,79.3,0,58
Storhamar YA/Stange,11,18,45,40,1,6,37,83.8,3,54.1
Vålerenga,11,9,34,26.5,1,6,40,85,7,53.2
